Week,Age Group,Total Cumulative Cases,Cumulative_Death_Male,Cumulative_Death_Female,Date,Number of Cases,Number of Male Deaths,Number of Female Deaths
14,05-14 yrs,763,1,0,2020-07-18 00:00:00,46.0,0.0,0.0
14,15-24 yrs,6802,1,0,2020-07-18 00:00:00,256.0,0.0,0.0
14,25-34 yrs,5416,4,2,2020-07-18 00:00:00,325.0,0.0,0.0
14,35-44 yrs,2904,6,1,2020-07-18 00:00:00,177.0,1.0,0.0
14,45-54 yrs,1172,7,1,2020-07-18 00:00:00,63.0,0.0,0.0
14,55-64 yrs,375,7,0,2020-07-18 00:00:00,30.0,0.0,0.0
14,65-74 yrs,113,4,0,2020-07-18 00:00:00,14.0,1.0,0.0
14,75-84 yrs,34,2,0,2020-07-18 00:00:00,3.0,0.0,0.0
14,85+ yrs,6,1,0,2020-07-18 00:00:00,1.0,0.0,0.0
14,Unknown,19,0,0,2020-07-18 00:00:00,0.0,0.0,0.0
15,00-04 yrs,424,1,1,2020-07-25 00:00:00,36.0,0.0,0.0
15,05-14 yrs,815,1,0,2020-07-25 00:00:00,52.0,0.0,0.0
15,15-24 yrs,7082,1,1,2020-07-25 00:00:00,280.0,0.0,1.0
15,25-34 yrs,5765,4,2,2020-07-25 00:00:00,349.0,0.0,0.0
15,35-44 yrs,3111,7,1,2020-07-25 00:00:00,207.0,1.0,0.0
15,45-54 yrs,1253,7,2,2020-07-25 00:00:00,81.0,0.0,1.0
15,55-64 yrs,413,9,1,2020-07-25 00:00:00,38.0,2.0,1.0
15,65-74 yrs,133,7,0,2020-07-25 00:00:00,20.0,3.0,0.0
15,75-84 yrs,36,2,0,2020-07-25 00:00:00,2.0,0.0,0.0
15,85+ yrs,8,1,1,2020-07-25 00:00:00,2.0,0.0,1.0
15,Unknown,21,0,0,2020-07-25 00:00:00,2.0,0.0,0.0
16,00-04 yrs,466,1,1,2020-08-01 00:00:00,42.0,0.0,0.0
16,05-14 yrs,892,1,0,2020-08-01 00:00:00,77.0,0.0,0.0
16,15-24 yrs,7503,1,1,2020-08-01 00:00:00,421.0,0.0,0.0
16,25-34 yrs,6423,4,2,2020-08-01 00:00:00,658.0,0.0,0.0
16,35-44 yrs,3508,8,1,2020-08-01 00:00:00,397.0,1.0,0.0
16,45-54 yrs,1445,8,2,2020-08-01 00:00:00,192.0,1.0,0.0
16,55-64 yrs,512,10,1,2020-08-01 00:00:00,99.0,1.0,0.0
16,65-74 yrs,166,9,2,2020-08-01 00:00:00,33.0,2.0,2.0
16,75-84 yrs,45,3,0,2020-08-01 00:00:00,9.0,1.0,0.0
16,85+ yrs,9,1,1,2020-08-01 00:00:00,1.0,0.0,0.0
16,Unknown,38,0,0,2020-08-01 00:00:00,17.0,0.0,0.0
17,00-04 yrs,501,1,1,2020-08-08 00:00:00,35.0,0.0,0.0
17,05-14 yrs,1003,1,0,2020-08-08 00:00:00,111.0,0.0,0.0
17,15-24 yrs,8042,2,3,2020-08-08 00:00:00,539.0,1.0,2.0
17,25-34 yrs,7400,4,2,2020-08-08 00:00:00,977.0,0.0,0.0
17,35-44 yrs,4101,9,2,2020-08-08 00:00:00,593.0,1.0,1.0
17,45-54 yrs,1802,13,3,2020-08-08 00:00:00,357.0,5.0,1.0
17,55-64 yrs,669,15,1,2020-08-08 00:00:00,157.0,5.0,0.0
17,65-74 yrs,241,11,5,2020-08-08 00:00:00,75.0,2.0,3.0
17,75-84 yrs,74,6,0,2020-08-08 00:00:00,29.0,3.0,0.0
17,85+ yrs,16,1,1,2020-08-08 00:00:00,7.0,0.0,0.0
17,Unknown,97,0,0,2020-08-08 00:00:00,59.0,0.0,0.0
18,00-04 yrs,559,1,1,2020-08-15 00:00:00,58.0,0.0,0.0
18,05-14 yrs,1180,1,0,2020-08-15 00:00:00,177.0,0.0,0.0
18,15-24 yrs,8803,3,3,2020-08-15 00:00:00,761.0,1.0,0.0
18,25-34 yrs,8773,7,2,2020-08-15 00:00:00,1373.0,3.0,0.0
18,35-44 yrs,5009,13,3,2020-08-15 00:00:00,908.0,4.0,1.0
18,45-54 yrs,2357,19,6,2020-08-15 00:00:00,555.0,6.0,3.0
18,55-64 yrs,905,20,2,2020-08-15 00:00:00,236.0,5.0,1.0
18,65-74 yrs,382,15,6,2020-08-15 00:00:00,141.0,4.0,1.0
18,75-84 yrs,114,7,1,2020-08-15 00:00:00,40.0,1.0,1.0
18,85+ yrs,27,3,1,2020-08-15 00:00:00,11.0,2.0,0.0
18,Unknown,146,0,0,2020-08-15 00:00:00,49.0,0.0,0.0
19,00-04 yrs,628,0,1,2020-08-21 00:00:00,69.0,-1.0,0.0
19,05-14 yrs,1357,2,0,2020-08-21 00:00:00,177.0,1.0,0.0
19,15-24 yrs,9665,2,3,2020-08-21 00:00:00,862.0,-1.0,0.0
19,25-34 yrs,10121,9,3,2020-08-21 00:00:00,1348.0,2.0,1.0
19,35-44 yrs,5906,14,4,2020-08-21 00:00:00,897.0,1.0,1.0
19,45-54 yrs,2889,24,9,2020-08-21 00:00:00,532.0,5.0,3.0
19,55-64 yrs,1195,28,3,2020-08-21 00:00:00,290.0,8.0,1.0
19,65-74 yrs,510,22,11,2020-08-21 00:00:00,128.0,7.0,5.0
19,75-84 yrs,161,10,1,2020-08-21 00:00:00,47.0,3.0,0.0
19,85+ yrs,32,6,5,2020-08-21 00:00:00,5.0,3.0,4.0
19,Unknown,212,0,0,2020-08-21 00:00:00,66.0,0.0,0.0
20,00-04 yrs,739,0,2,2020-08-27 12:00:00,111.0,0.0,1.0
20,05-14 yrs,1701,2,1,2020-08-27 12:00:00,344.0,0.0,1.0
20,15-24 yrs,11096,3,4,2020-08-27 12:00:00,1431.0,1.0,1.0
20,25-34 yrs,12508,11,5,2020-08-27 12:00:00,2387.0,2.0,2.0
20,35-44 yrs,7568,22,4,2020-08-27 12:00:00,1662.0,8.0,0.0
20,45-54 yrs,3846,37,13,2020-08-27 12:00:00,957.0,13.0,4.0
20,55-64 yrs,1704,41,7,2020-08-27 12:00:00,509.0,13.0,4.0
20,65-74 yrs,773,34,20,2020-08-27 12:00:00,263.0,12.0,9.0
20,75-84 yrs,248,19,1,2020-08-27 12:00:00,87.0,9.0,0.0
20,85+ yrs,56,7,5,2020-08-27 12:00:00,24.0,1.0,0.0
20,Unknown,288,0,0,2020-08-27 12:00:00,76.0,0.0,0.0
21,00-04 yrs,846,0,2,2020-09-04 00:00:00,107.0,0.0,0.0
21,05-14 yrs,2054,2,1,2020-09-04 00:00:00,353.0,0.0,0.0
21,15-24 yrs,12343,3,7,2020-09-04 00:00:00,1247.0,0.0,3.0
21,25-34 yrs,14900,12,5,2020-09-04 00:00:00,2392.0,1.0,0.0
21,35-44 yrs,9216,31,10,2020-09-04 00:00:00,1648.0,9.0,6.0
21,45-54 yrs,4728,40,15,2020-09-04 00:00:00,882.0,3.0,2.0
21,55-64 yrs,2185,50,11,2020-09-04 00:00:00,481.0,9.0,4.0
21,65-74 yrs,1006,44,22,2020-09-04 00:00:00,233.0,10.0,2.0
21,75-84 yrs,365,26,5,2020-09-04 00:00:00,117.0,7.0,4.0
21,85+ yrs,77,12,7,2020-09-04 00:00:00,21.0,5.0,2.0
21,Unknown,396,0,0,2020-09-04 00:00:00,108.0,0.0,0.0
22,00-04 yrs,988,0,2,2020-09-11 00:00:00,142.0,0.0,0.0
22,05-14 yrs,2459,2,1,2020-09-11 00:00:00,405.0,0.0,0.0
22,15-24 yrs,13826,4,7,2020-09-11 00:00:00,1483.0,1.0,0.0
22,25-34 yrs,17667,14,5,2020-09-11 00:00:00,2767.0,2.0,0.0
22,35-44 yrs,10992,36,12,2020-09-11 00:00:00,1776.0,5.0,2.0
22,45-54 yrs,5726,45,17,2020-09-11 00:00:00,998.0,5.0,2.0
22,55-64 yrs,2705,66,18,2020-09-11 00:00:00,520.0,16.0,7.0
22,65-74 yrs,1315,55,25,2020-09-11 00:00:00,309.0,11.0,3.0
22,75-84 yrs,488,28,10,2020-09-11 00:00:00,123.0,2.0,5.0
22,85+ yrs,119,15,8,2020-09-11 00:00:00,42.0,3.0,1.0
22,Unknown,502,0,0,2020-09-11 00:00:00,106.0,0.0,0.0
23,00-04 yrs,1099,1,2,2020-09-19 00:00:00,111.0,1.0,0.0
23,05-14 yrs,2860,2,1,2020-09-19 00:00:00,401.0,0.0,0.0
23,15-24 yrs,15484,4,8,2020-09-19 00:00:00,1658.0,0.0,1.0
23,25-34 yrs,20662,16,6,2020-09-19 00:00:00,2995.0,2.0,1.0
23,35-44 yrs,13108,38,16,2020-09-19 00:00:00,2116.0,2.0,4.0
23,45-54 yrs,6981,49,21,2020-09-19 00:00:00,1255.0,4.0,4.0
23,55-64 yrs,3361,72,25,2020-09-19 00:00:00,656.0,6.0,7.0
23,65-74 yrs,1692,64,31,2020-09-19 00:00:00,377.0,9.0,6.0
23,75-84 yrs,643,34,13,2020-09-19 00:00:00,155.0,6.0,3.0
23,85+ yrs,169,17,8,2020-09-19 00:00:00,50.0,2.0,0.0
23,Unknown,572,0,0,2020-09-19 00:00:00,70.0,0.0,0.0
24,00-04 yrs,1201,1,2,2020-09-27 00:00:00,102.0,0.0,0.0
24,05-14 yrs,3216,2,1,2020-09-27 00:00:00,356.0,0.0,0.0
24,15-24 yrs,17021,7,8,2020-09-27 00:00:00,1537.0,3.0,0.0
24,25-34 yrs,23567,19,7,2020-09-27 00:00:00,2905.0,3.0,1.0
24,35-44 yrs,15282,43,17,2020-09-27 00:00:00,2174.0,5.0,1.0
24,45-54 yrs,8240,55,23,2020-09-27 00:00:00,1259.0,6.0,2.0
24,55-64 yrs,4046,82,28,2020-09-27 00:00:00,685.0,10.0,3.0
24,65-74 yrs,2037,75,35,2020-09-27 00:00:00,345.0,11.0,4.0
24,75-84 yrs,804,41,17,2020-09-27 00:00:00,161.0,7.0,4.0
24,85+ yrs,207,19,8,2020-09-27 00:00:00,38.0,2.0,0.0
24,Unknown,636,0,0,2020-09-27 00:00:00,64.0,0.0,0.0
25,00-04 yrs,1351,2,2,2020-10-04 00:00:00,150.0,1.0,0.0
25,05-14 yrs,3713,2,1,2020-10-04 00:00:00,497.0,0.0,0.0
25,15-24 yrs,19450,8,8,2020-10-04 00:00:00,2429.0,1.0,0.0
25,25-34 yrs,28030,23,13,2020-10-04 00:00:00,4463.0,4.0,6.0
25,35-44 yrs,18456,48,17,2020-10-04 00:00:00,3174.0,5.0,0.0
25,45-54 yrs,10117,59,25,2020-10-04 00:00:00,1877.0,4.0,2.0
25,55-64 yrs,5071,95,33,2020-10-04 00:00:00,1025.0,13.0,5.0
25,65-74 yrs,2579,87,36,2020-10-04 00:00:00,542.0,12.0,1.0
25,75-84 yrs,1019,50,23,2020-10-04 00:00:00,215.0,9.0,6.0
25,85+ yrs,270,20,10,2020-10-04 00:00:00,63.0,1.0,2.0
25,Unknown,757,0,0,2020-10-04 00:00:00,121.0,0.0,0.0
26,00-04 yrs,1608,2,2,2020-10-11 00:00:00,257.0,0.0,0.0
26,05-14 yrs,4555,2,1,2020-10-11 00:00:00,842.0,0.0,0.0
26,15-24 yrs,23221,9,8,2020-10-11 00:00:00,3771.0,1.0,0.0
26,25-34 yrs,35472,26,13,2020-10-11 00:00:00,7442.0,3.0,0.0
26,35-44 yrs,23886,55,19,2020-10-11 00:00:00,5430.0,7.0,2.0
26,45-54 yrs,13496,73,28,2020-10-11 00:00:00,3379.0,14.0,3.0
26,55-64 yrs,6801,106,36,2020-10-11 00:00:00,1730.0,11.0,3.0
26,65-74 yrs,3466,102,45,2020-10-11 00:00:00,887.0,15.0,9.0
26,75-84 yrs,1397,66,28,2020-10-11 00:00:00,378.0,16.0,5.0
26,85+ yrs,359,27,12,2020-10-11 00:00:00,89.0,7.0,2.0
26,Unknown,1096,2,0,2020-10-11 00:00:00,339.0,2.0,0.0
27,00-04 yrs,1822,2,2,2020-10-18 00:00:00,214.0,0.0,0.0
27,05-14 yrs,5347,2,1,2020-10-18 00:00:00,792.0,0.0,0.0
27,15-24 yrs,26716,9,11,2020-10-18 00:00:00,3495.0,0.0,3.0
27,25-34 yrs,42739,30,14,2020-10-18 00:00:00,7267.0,4.0,1.0
27,35-44 yrs,29188,61,25,2020-10-18 00:00:00,5302.0,6.0,6.0
27,45-54 yrs,16872,82,33,2020-10-18 00:00:00,3376.0,9.0,5.0
27,55-64 yrs,8580,117,41,2020-10-18 00:00:00,1779.0,11.0,5.0
27,65-74 yrs,4370,119,55,2020-10-18 00:00:00,904.0,17.0,10.0
27,75-84 yrs,1756,80,31,2020-10-18 00:00:00,359.0,14.0,3.0
27,85+ yrs,460,33,14,2020-10-18 00:00:00,101.0,6.0,2.0
27,Unknown,1278,2,0,2020-10-18 00:00:00,182.0,0.0,0.0
28,00-04 yrs,1998,2,3,2020-10-25 00:00:00,176.0,0.0,1.0
28,05-14 yrs,6073,2,1,2020-10-25 00:00:00,726.0,0.0,0.0
28,15-24 yrs,29650,10,12,2020-10-25 00:00:00,2934.0,1.0,1.0
28,25-34 yrs,49142,34,15,2020-10-25 00:00:00,6403.0,4.0,1.0
28,35-44 yrs,33940,66,28,2020-10-25 00:00:00,4752.0,5.0,3.0
28,45-54 yrs,19870,97,38,2020-10-25 00:00:00,2998.0,15.0,5.0
28,55-64 yrs,10270,126,49,2020-10-25 00:00:00,1690.0,9.0,8.0
28,65-74 yrs,5260,140,60,2020-10-25 00:00:00,890.0,21.0,5.0
28,75-84 yrs,2122,94,40,2020-10-25 00:00:00,366.0,14.0,9.0
28,85+ yrs,550,40,16,2020-10-25 00:00:00,90.0,7.0,2.0
28,Unknown,1524,2,0,2020-10-25 00:00:00,246.0,0.0,0.0
29,00-04 yrs,2115,2,4,2020-11-01 00:00:00,117.0,0.0,1.0
29,05-14 yrs,6621,2,1,2020-11-01 00:00:00,548.0,0.0,0.0
29,15-24 yrs,31951,12,12,2020-11-01 00:00:00,2301.0,2.0,0.0
29,25-34 yrs,54595,38,17,2020-11-01 00:00:00,5453.0,4.0,2.0
29,35-44 yrs,38313,73,30,2020-11-01 00:00:00,4373.0,7.0,2.0
29,45-54 yrs,22818,104,42,2020-11-01 00:00:00,2948.0,7.0,4.0
29,55-64 yrs,12023,146,56,2020-11-01 00:00:00,1753.0,20.0,7.0
29,65-74 yrs,6268,167,65,2020-11-01 00:00:00,1008.0,27.0,5.0
29,75-84 yrs,2569,116,47,2020-11-01 00:00:00,447.0,22.0,7.0
29,85+ yrs,683,51,17,2020-11-01 00:00:00,133.0,11.0,1.0
29,Unknown,1657,2,0,2020-11-01 00:00:00,133.0,0.0,0.0
30,00-04 yrs,2272,2,4,2020-11-08 00:00:00,157.0,0.0,0.0
30,05-14 yrs,7177,3,2,2020-11-08 00:00:00,556.0,1.0,1.0
30,15-24 yrs,34854,15,17,2020-11-08 00:00:00,2903.0,3.0,5.0
30,25-34 yrs,60170,40,18,2020-11-08 00:00:00,5575.0,2.0,1.0
30,35-44 yrs,42630,74,35,2020-11-08 00:00:00,4317.0,1.0,5.0
30,45-54 yrs,25823,122,48,2020-11-08 00:00:00,3005.0,18.0,6.0
30,55-64 yrs,13841,166,64,2020-11-08 00:00:00,1818.0,20.0,8.0
30,65-74 yrs,7347,187,78,2020-11-08 00:00:00,1079.0,20.0,13.0
30,75-84 yrs,3066,130,57,2020-11-08 00:00:00,497.0,14.0,10.0
30,85+ yrs,849,65,19,2020-11-08 00:00:00,166.0,14.0,2.0
30,Unknown,1730,2,0,2020-11-08 00:00:00,73.0,0.0,0.0
32,00-04 yrs,2421,2,4,2020-11-18 12:00:00,74.5,0.0,0.0
32,05-14 yrs,7836,3,2,2020-11-18 12:00:00,329.5,0.0,0.0
32,15-24 yrs,37922,17,22,2020-11-18 12:00:00,1534.0,1.0,2.5
32,25-34 yrs,66629,47,24,2020-11-18 12:00:00,3229.5,3.5,3.0
32,35-44 yrs,47816,83,42,2020-11-18 12:00:00,2593.0,4.5,3.5
32,45-54 yrs,29691,140,50,2020-11-18 12:00:00,1934.0,9.0,1.0
32,55-64 yrs,16233,194,74,2020-11-18 12:00:00,1196.0,14.0,5.0
32,65-74 yrs,8815,230,98,2020-11-18 12:00:00,734.0,21.5,10.0
32,75-84 yrs,3802,158,77,2020-11-18 12:00:00,368.0,14.0,10.0
32,85+ yrs,1084,69,23,2020-11-18 12:00:00,117.5,2.0,2.0
32,Unknown,1828,2,0,2020-11-18 12:00:00,49.0,0.0,0.0
33,00-04 yrs,2481,2,4,2020-11-29 00:00:00,60.0,0.0,0.0
33,05-14 yrs,8114,3,2,2020-11-29 00:00:00,278.0,0.0,0.0
33,15-24 yrs,39268,18,23,2020-11-29 00:00:00,1346.0,1.0,1.0
33,25-34 yrs,69473,50,26,2020-11-29 00:00:00,2844.0,3.0,2.0
33,35-44 yrs,50112,88,44,2020-11-29 00:00:00,2296.0,5.0,2.0
33,45-54 yrs,31383,147,56,2020-11-29 00:00:00,1692.0,7.0,6.0
33,55-64 yrs,17323,214,81,2020-11-29 00:00:00,1090.0,20.0,7.0
33,65-74 yrs,9425,258,110,2020-11-29 00:00:00,610.0,28.0,12.0
33,75-84 yrs,4134,179,89,2020-11-29 00:00:00,332.0,21.0,12.0
33,85+ yrs,1163,79,29,2020-11-29 00:00:00,79.0,10.0,6.0
33,Unknown,1879,2,0,2020-11-29 00:00:00,51.0,0.0,0.0
34,00-04 yrs,2509,2,4,2020-12-05 12:00:00,28.0,0.0,0.0
34,05-14 yrs,8304,3,2,2020-12-05 12:00:00,190.0,0.0,0.0
34,15-24 yrs,40194,18,23,2020-12-05 12:00:00,926.0,0.0,0.0
34,25-34 yrs,71432,53,28,2020-12-05 12:00:00,1959.0,3.0,2.0
34,35-44 yrs,51625,89,45,2020-12-05 12:00:00,1513.0,1.0,1.0
34,45-54 yrs,32538,157,63,2020-12-05 12:00:00,1155.0,10.0,7.0
34,55-64 yrs,18004,226,83,2020-12-05 12:00:00,681.0,12.0,2.0
34,65-74 yrs,9873,286,120,2020-12-05 12:00:00,448.0,28.0,10.0
34,75-84 yrs,4379,192,97,2020-12-05 12:00:00,245.0,13.0,8.0
34,85+ yrs,1229,86,35,2020-12-05 12:00:00,66.0,7.0,6.0
34,Unknown,1907,2,0,2020-12-05 12:00:00,28.0,0.0,0.0
35,00-04 yrs,2555,2,4,2020-12-12 00:00:00,46.0,0.0,0.0
35,05-14 yrs,8488,3,2,2020-12-12 00:00:00,184.0,0.0,0.0
35,15-24 yrs,41247,19,25,2020-12-12 00:00:00,1053.0,1.0,2.0
35,25-34 yrs,73568,53,30,2020-12-12 00:00:00,2136.0,0.0,2.0
35,35-44 yrs,53322,98,45,2020-12-12 00:00:00,1697.0,9.0,0.0
35,45-54 yrs,33863,167,66,2020-12-12 00:00:00,1325.0,10.0,3.0
35,55-64 yrs,18901,243,87,2020-12-12 00:00:00,897.0,17.0,4.0
35,65-74 yrs,10354,310,127,2020-12-12 00:00:00,481.0,24.0,7.0
35,75-84 yrs,4649,218,102,2020-12-12 00:00:00,270.0,26.0,5.0
35,85+ yrs,1292,90,37,2020-12-12 00:00:00,63.0,4.0,2.0
35,Unknown,1940,2,0,2020-12-12 00:00:00,33.0,0.0,0.0
36,00-04 yrs,2583,2,4,2020-12-19 00:00:00,28.0,0.0,0.0
36,05-14 yrs,8643,3,2,2020-12-19 00:00:00,155.0,0.0,0.0
36,15-24 yrs,41944,19,25,2020-12-19 00:00:00,697.0,0.0,0.0
36,25-34 yrs,74937,56,32,2020-12-19 00:00:00,1369.0,3.0,2.0
36,35-44 yrs,54331,100,47,2020-12-19 00:00:00,1009.0,2.0,2.0
36,45-54 yrs,34617,175,66,2020-12-19 00:00:00,754.0,8.0,0.0
36,55-64 yrs,19436,254,90,2020-12-19 00:00:00,535.0,11.0,3.0
36,65-74 yrs,10654,328,129,2020-12-19 00:00:00,300.0,18.0,2.0
36,75-84 yrs,4798,224,108,2020-12-19 00:00:00,149.0,6.0,6.0
36,85+ yrs,1326,93,38,2020-12-19 00:00:00,34.0,3.0,1.0
36,Unknown,1966,3,0,2020-12-19 00:00:00,26.0,1.0,0.0
37,00-04 yrs,2608,2,4,2020-12-26 00:00:00,25.0,0.0,0.0
37,05-14 yrs,8756,3,2,2020-12-26 00:00:00,113.0,0.0,0.0
37,15-24 yrs,42527,19,25,2020-12-26 00:00:00,583.0,0.0,0.0
37,25-34 yrs,76035,57,32,2020-12-26 00:00:00,1098.0,1.0,0.0
37,35-44 yrs,55266,102,48,2020-12-26 00:00:00,935.0,2.0,1.0
37,45-54 yrs,35288,178,66,2020-12-26 00:00:00,671.0,3.0,0.0
37,55-64 yrs,19878,264,91,2020-12-26 00:00:00,442.0,10.0,1.0
37,65-74 yrs,10916,337,132,2020-12-26 00:00:00,262.0,9.0,3.0
37,75-84 yrs,4936,230,112,2020-12-26 00:00:00,138.0,6.0,4.0
37,85+ yrs,1367,95,38,2020-12-26 00:00:00,41.0,2.0,0.0
37,Unknown,1970,3,0,2020-12-26 00:00:00,4.0,0.0,0.0
38,00-04 yrs,2621,2,4,2021-01-02 00:00:00,13.0,0.0,0.0
38,05-14 yrs,8843,3,2,2021-01-02 00:00:00,87.0,0.0,0.0
38,15-24 yrs,42962,20,25,2021-01-02 00:00:00,435.0,1.0,0.0
38,25-34 yrs,76882,58,32,2021-01-02 00:00:00,847.0,1.0,0.0
38,35-44 yrs,55957,105,50,2021-01-02 00:00:00,691.0,3.0,2.0
38,45-54 yrs,35767,188,68,2021-01-02 00:00:00,479.0,10.0,2.0
38,55-64 yrs,20203,269,92,2021-01-02 00:00:00,325.0,5.0,1.0
38,65-74 yrs,11125,344,137,2021-01-02 00:00:00,209.0,7.0,5.0
38,75-84 yrs,5058,234,117,2021-01-02 00:00:00,122.0,4.0,5.0
38,85+ yrs,1389,102,38,2021-01-02 00:00:00,22.0,7.0,0.0
38,Unknown,1976,3,0,2021-01-02 00:00:00,6.0,0.0,0.0
39,00-04 yrs,2634,2,4,2021-01-09 00:00:00,13.0,0.0,0.0
39,05-14 yrs,8925,3,2,2021-01-09 00:00:00,82.0,0.0,0.0
39,15-24 yrs,43311,21,25,2021-01-09 00:00:00,349.0,1.0,0.0
39,25-34 yrs,77567,59,32,2021-01-09 00:00:00,685.0,1.0,0.0
39,35-44 yrs,56504,107,51,2021-01-09 00:00:00,547.0,2.0,1.0
39,45-54 yrs,36192,188,68,2021-01-09 00:00:00,425.0,0.0,0.0
39,55-64 yrs,20469,274,95,2021-01-09 00:00:00,266.0,5.0,3.0
39,65-74 yrs,11319,355,140,2021-01-09 00:00:00,194.0,11.0,3.0
39,75-84 yrs,5158,242,119,2021-01-09 00:00:00,100.0,8.0,2.0
39,85+ yrs,1406,103,38,2021-01-09 00:00:00,17.0,1.0,0.0
39,Unknown,2212,4,0,2021-01-09 00:00:00,236.0,1.0,0.0
40,00-04 yrs,2643,2,4,2021-01-16 00:00:00,9.0,0.0,0.0
40,05-14 yrs,8984,3,2,2021-01-16 00:00:00,59.0,0.0,0.0
40,15-24 yrs,43612,21,25,2021-01-16 00:00:00,301.0,0.0,0.0
40,25-34 yrs,78136,59,33,2021-01-16 00:00:00,569.0,0.0,1.0
40,35-44 yrs,56954,108,52,2021-01-16 00:00:00,450.0,1.0,1.0
40,45-54 yrs,36545,191,68,2021-01-16 00:00:00,353.0,3.0,0.0
40,55-64 yrs,20680,276,98,2021-01-16 00:00:00,211.0,2.0,3.0
40,65-74 yrs,11455,362,144,2021-01-16 00:00:00,136.0,7.0,4.0
40,75-84 yrs,5219,247,123,2021-01-16 00:00:00,61.0,5.0,4.0
40,85+ yrs,1425,105,38,2021-01-16 00:00:00,19.0,2.0,0.0
40,Unknown,1990,4,0,2021-01-16 00:00:00,-222.0,0.0,0.0
41,00-04 yrs,2663,2,4,2021-01-22 12:00:00,20.0,0.0,0.0
41,05-14 yrs,9038,3,2,2021-01-22 12:00:00,54.0,0.0,0.0
41,15-24 yrs,43893,22,25,2021-01-22 12:00:00,281.0,1.0,0.0
41,25-34 yrs,78659,59,34,2021-01-22 12:00:00,523.0,0.0,1.0
41,35-44 yrs,57383,114,55,2021-01-22 12:00:00,429.0,6.0,3.0
