Week,Age Group,Total Cumulative Cases,Cumulative_Death_Male,Cumulative_Death_Female,Date,Number of Cases,Number of Male Deaths,Number of Female Deaths
8,00-04 yrs,43,0,1,2020-06-06 00:00:00,43.0,0.0,1.0
8,05-14 yrs,122,0,0,2020-06-06 00:00:00,122.0,0.0,0.0
8,15-24 yrs,1659,1,0,2020-06-06 00:00:00,1659.0,1.0,0.0
8,25-34 yrs,1194,1,1,2020-06-06 00:00:00,1194.0,1.0,1.0
8,35-44 yrs,675,3,0,2020-06-06 00:00:00,675.0,3.0,0.0
8,45-54 yrs,257,1,0,2020-06-06 00:00:00,257.0,1.0,0.0
8,55-64 yrs,78,4,0,2020-06-06 00:00:00,78.0,4.0,0.0
8,65-74 yrs,21,2,0,2020-06-06 00:00:00,21.0,2.0,0.0
8,75-84 yrs,6,1,0,2020-06-06 00:00:00,6.0,1.0,0.0
8,85+ yrs,1,0,0,2020-06-06 00:00:00,1.0,0.0,0.0
8,Unknown,19,0,0,2020-06-06 00:00:00,19.0,0.0,0.0
9,00-04 yrs,85,0,1,2020-06-13 12:00:00,42.0,0.0,0.0
9,05-14 yrs,262,1,0,2020-06-13 12:00:00,140.0,1.0,0.0
9,15-24 yrs,3025,1,0,2020-06-13 12:00:00,1366.0,0.0,0.0
9,25-34 yrs,2043,2,1,2020-06-13 12:00:00,849.0,1.0,0.0
9,35-44 yrs,1148,4,0,2020-06-13 12:00:00,473.0,1.0,0.0
9,45-54 yrs,431,1,1,2020-06-13 12:00:00,174.0,0.0,1.0
9,55-64 yrs,118,5,0,2020-06-13 12:00:00,40.0,1.0,0.0
9,65-74 yrs,31,2,0,2020-06-13 12:00:00,10.0,0.0,0.0
9,75-84 yrs,8,1,0,2020-06-13 12:00:00,2.0,0.0,0.0
9,85+ yrs,2,0,0,2020-06-13 12:00:00,1.0,0.0,0.0
9,Unknown,20,0,0,2020-06-13 12:00:00,1.0,0.0,0.0
12,00-04 yrs,360,1,1,2020-07-04 00:00:00,,,
12,05-14 yrs,669,1,0,2020-07-04 00:00:00,,,
12,15-24 yrs,6301,1,0,2020-07-04 00:00:00,,,
12,25-34 yrs,4760,4,2,2020-07-04 00:00:00,,,
12,35-44 yrs,2555,5,1,2020-07-04 00:00:00,,,
12,45-54 yrs,1043,6,1,2020-07-04 00:00:00,,,
12,55-64 yrs,324,6,0,2020-07-04 00:00:00,,,
12,65-74 yrs,89,3,0,2020-07-04 00:00:00,,,
12,75-84 yrs,27,2,0,2020-07-04 00:00:00,,,
12,85+ yrs,4,1,0,2020-07-04 00:00:00,,,
12,Unknown,34,0,0,2020-07-04 00:00:00,,,
13,00-04 yrs,370,1,1,2020-07-11 00:00:00,10.0,0.0,0.0
13,05-14 yrs,717,1,0,2020-07-11 00:00:00,48.0,0.0,0.0
13,15-24 yrs,6546,1,0,2020-07-11 00:00:00,245.0,0.0,0.0
13,25-34 yrs,5091,4,2,2020-07-11 00:00:00,331.0,0.0,0.0
13,35-44 yrs,2727,5,1,2020-07-11 00:00:00,172.0,0.0,0.0
13,45-54 yrs,1109,7,1,2020-07-11 00:00:00,66.0,1.0,0.0
13,55-64 yrs,345,7,0,2020-07-11 00:00:00,21.0,1.0,0.0
13,65-74 yrs,99,3,0,2020-07-11 00:00:00,10.0,0.0,0.0
13,75-84 yrs,31,2,0,2020-07-11 00:00:00,4.0,0.0,0.0
13,85+ yrs,5,1,0,2020-07-11 00:00:00,1.0,0.0,0.0
13,Unknown,19,0,0,2020-07-11 00:00:00,-15.0,0.0,0.0
14,00-04 yrs,388,1,1,2020-07-18 00:00:00,18.0,0.0,0.0
