Week,Province,Total Cumulative Cases,Total Cumulative Deaths,Date,Number of Cases,Number of Deaths
7,Province 1,167,0,2020-05-30 00:00:00,80.0,0.0
7,Province 2,822,1,2020-05-30 00:00:00,540.0,0.0
7,Province 5,669,3,2020-05-30 00:00:00,348.0,1.0
7,Sudurpashchim,62,1,2020-05-30 00:00:00,48.0,1.0
8,Bagmati,116,4,2020-06-06 00:00:00,62.0,2.0
8,Gandaki,143,1,2020-06-06 00:00:00,108.0,1.0
8,Karnali,664,3,2020-06-06 00:00:00,437.0,2.0
8,Province 1,283,0,2020-06-06 00:00:00,116.0,0.0
8,Province 2,1500,1,2020-06-06 00:00:00,678.0,0.0
8,Province 5,1223,4,2020-06-06 00:00:00,554.0,1.0
8,Sudurpashchim,146,2,2020-06-06 00:00:00,84.0,1.0
9,Bagmati,229,4,2020-06-13 12:00:00,113.0,0.0
9,Gandaki,247,1,2020-06-13 12:00:00,104.0,0.0
9,Karnali,1144,3,2020-06-13 12:00:00,480.0,0.0
9,Province 1,417,0,2020-06-13 12:00:00,134.0,0.0
9,Province 2,2839,3,2020-06-13 12:00:00,1339.0,2.0
9,Province 5,1948,7,2020-06-13 12:00:00,725.0,3.0
9,Sudurpashchim,349,2,2020-06-13 12:00:00,203.0,0.0
10,Bagmati,322,4,2020-06-21 00:00:00,93.0,0.0
10,Gandaki,731,1,2020-06-21 00:00:00,484.0,0.0
10,Karnali,1327,4,2020-06-21 00:00:00,183.0,1.0
10,Province 1,487,0,2020-06-21 00:00:00,70.0,0.0
10,Province 2,3251,3,2020-06-21 00:00:00,412.0,0.0
10,Province 5,2803,8,2020-06-21 00:00:00,855.0,1.0
10,Sudurpashchim,1175,4,2020-06-21 00:00:00,826.0,2.0
11,Bagmati,423,5,2020-06-27 12:00:00,101.0,1.0
11,Gandaki,1028,2,2020-06-27 12:00:00,297.0,1.0
11,Karnali,1463,4,2020-06-27 12:00:00,136.0,0.0
11,Province 1,594,0,2020-06-27 12:00:00,107.0,0.0
11,Province 2,3801,4,2020-06-27 12:00:00,550.0,1.0
11,Province 5,3796,9,2020-06-27 12:00:00,993.0,1.0
11,Sudurpashchim,2457,5,2020-06-27 12:00:00,1282.0,1.0
12,Bagmati,670,6,2020-07-04 00:00:00,247.0,1.0
12,Gandaki,1195,5,2020-07-04 00:00:00,167.0,3.0
12,Karnali,1591,4,2020-07-04 00:00:00,128.0,0.0
12,Province 1,719,0,2020-07-04 00:00:00,125.0,0.0
12,Province 2,4216,4,2020-07-04 00:00:00,415.0,0.0
12,Province 5,3995,10,2020-07-04 00:00:00,199.0,1.0
12,Sudurpashchim,3780,6,2020-07-04 00:00:00,1323.0,1.0
13,Bagmati,816,8,2020-07-11 00:00:00,146.0,2.0
13,Gandaki,1290,5,2020-07-11 00:00:00,95.0,0.0
13,Karnali,1744,4,2020-07-11 00:00:00,153.0,0.0
13,Province 1,775,0,2020-07-11 00:00:00,56.0,0.0
13,Province 2,4399,4,2020-07-11 00:00:00,183.0,0.0
13,Province 5,4079,10,2020-07-11 00:00:00,84.0,0.0
13,Sudurpashchim,3956,6,2020-07-11 00:00:00,176.0,0.0
14,Bagmati,877,8,2020-07-18 00:00:00,61.0,0.0
14,Gandaki,1417,5,2020-07-18 00:00:00,127.0,0.0
14,Karnali,1834,4,2020-07-18 00:00:00,90.0,0.0
14,Province 1,860,0,2020-07-18 00:00:00,85.0,0.0
14,Province 2,4692,6,2020-07-18 00:00:00,293.0,2.0
14,Province 5,4185,10,2020-07-18 00:00:00,106.0,0.0
14,Sudurpashchim,4127,6,2020-07-18 00:00:00,171.0,0.0
15,Bagmati,984,10,2020-07-25 00:00:00,107.0,2.0
15,Gandaki,1494,5,2020-07-25 00:00:00,77.0,0.0
15,Karnali,1988,4,2020-07-25 00:00:00,154.0,0.0
15,Province 1,1006,1,2020-07-25 00:00:00,146.0,1.0
15,Province 2,4956,12,2020-07-25 00:00:00,264.0,6.0
15,Province 5,4306,10,2020-07-25 00:00:00,121.0,0.0
15,Sudurpashchim,4327,7,2020-07-25 00:00:00,200.0,1.0
16,Bagmati,1264,11,2020-08-01 00:00:00,280.0,1.0
16,Gandaki,1628,5,2020-08-01 00:00:00,134.0,0.0
16,Karnali,2026,4,2020-08-01 00:00:00,38.0,0.0
16,Province 1,1211,3,2020-08-01 00:00:00,205.0,2.0
16,Province 2,5638,17,2020-08-01 00:00:00,682.0,5.0
16,Province 5,4401,10,2020-08-01 00:00:00,95.0,0.0
16,Sudurpashchim,4839,7,2020-08-01 00:00:00,512.0,0.0
17,Bagmati,1980,16,2020-08-08 00:00:00,716.0,5.0
17,Gandaki,1729,6,2020-08-08 00:00:00,101.0,1.0
17,Karnali,2098,4,2020-08-08 00:00:00,72.0,0.0
17,Province 1,1588,6,2020-08-08 00:00:00,377.0,3.0
17,Province 2,6774,31,2020-08-08 00:00:00,1136.0,14.0
17,Province 5,4832,11,2020-08-08 00:00:00,431.0,1.0
17,Sudurpashchim,4945,7,2020-08-08 00:00:00,106.0,0.0
18,Bagmati,3357,22,2020-08-15 00:00:00,1377.0,6.0
18,Gandaki,1876,8,2020-08-15 00:00:00,147.0,2.0
18,Karnali,2174,4,2020-08-15 00:00:00,76.0,0.0
18,Province 1,2299,12,2020-08-15 00:00:00,711.0,6.0
18,Province 2,8223,46,2020-08-15 00:00:00,1449.0,15.0
18,Province 5,5249,15,2020-08-15 00:00:00,417.0,4.0
18,Sudurpashchim,5077,7,2020-08-15 00:00:00,132.0,0.0
19,Bagmati,4808,35,2020-08-21 00:00:00,1451.0,13.0
19,Gandaki,2015,8,2020-08-21 00:00:00,139.0,0.0
19,Karnali,2369,4,2020-08-21 00:00:00,195.0,0.0
19,Province 1,2794,21,2020-08-21 00:00:00,495.0,9.0
19,Province 2,9533,62,2020-08-21 00:00:00,1310.0,16.0
19,Province 5,5685,20,2020-08-21 00:00:00,436.0,5.0
19,Sudurpashchim,5472,7,2020-08-21 00:00:00,395.0,0.0
20,Bagmati,8398,61,2020-08-27 12:00:00,3590.0,26.0
20,Gandaki,2348,13,2020-08-27 12:00:00,333.0,5.0
20,Karnali,2505,4,2020-08-27 12:00:00,136.0,0.0
20,Province 1,3483,30,2020-08-27 12:00:00,689.0,9.0
20,Province 2,11106,89,2020-08-27 12:00:00,1573.0,27.0
20,Province 5,6657,31,2020-08-27 12:00:00,972.0,11.0
20,Sudurpashchim,6030,9,2020-08-27 12:00:00,558.0,2.0
21,Bagmati,11868,93,2020-09-04 00:00:00,3470.0,32.0
21,Gandaki,2880,17,2020-09-04 00:00:00,532.0,4.0
21,Karnali,2745,5,2020-09-04 00:00:00,240.0,1.0
21,Province 1,4354,36,2020-09-04 00:00:00,871.0,6.0
21,Province 2,12471,103,2020-09-04 00:00:00,1365.0,14.0
21,Province 5,7454,42,2020-09-04 00:00:00,797.0,11.0
21,Sudurpashchim,6344,9,2020-09-04 00:00:00,314.0,0.0
22,Bagmati,16661,127,2020-09-11 00:00:00,4793.0,34.0
22,Gandaki,3366,26,2020-09-11 00:00:00,486.0,9.0
22,Karnali,2925,5,2020-09-11 00:00:00,180.0,0.0
22,Province 1,5117,41,2020-09-11 00:00:00,763.0,5.0
22,Province 2,13398,111,2020-09-11 00:00:00,927.0,8.0
22,Province 5,8697,51,2020-09-11 00:00:00,1243.0,9.0
22,Sudurpashchim,6623,9,2020-09-11 00:00:00,279.0,0.0
23,Bagmati,22453,161,2020-09-19 00:00:00,5792.0,34.0
23,Gandaki,3846,28,2020-09-19 00:00:00,480.0,2.0
23,Karnali,3248,5,2020-09-19 00:00:00,323.0,0.0
23,Province 1,6029,48,2020-09-19 00:00:00,912.0,7.0
23,Province 2,14425,118,2020-09-19 00:00:00,1027.0,7.0
23,Province 5,9725,58,2020-09-19 00:00:00,1028.0,7.0
23,Sudurpashchim,6905,10,2020-09-19 00:00:00,282.0,1.0
24,Bagmati,28469,188,2020-09-27 00:00:00,6016.0,27.0
24,Gandaki,4269,29,2020-09-27 00:00:00,423.0,1.0
24,Karnali,3461,5,2020-09-27 00:00:00,213.0,0.0
24,Province 1,6851,56,2020-09-27 00:00:00,822.0,8.0
24,Province 2,15022,127,2020-09-27 00:00:00,597.0,9.0
24,Province 5,10837,73,2020-09-27 00:00:00,1112.0,15.0
24,Sudurpashchim,7348,12,2020-09-27 00:00:00,443.0,2.0
25,Bagmati,38376,230,2020-10-04 00:00:00,9907.0,42.0
25,Gandaki,4837,32,2020-10-04 00:00:00,568.0,3.0
25,Karnali,3889,6,2020-10-04 00:00:00,428.0,1.0
25,Province 1,8031,66,2020-10-04 00:00:00,1180.0,10.0
25,Province 2,15709,131,2020-10-04 00:00:00,687.0,4.0
25,Province 5,12064,83,2020-10-04 00:00:00,1227.0,10.0
25,Sudurpashchim,7907,14,2020-10-04 00:00:00,559.0,2.0
26,Bagmati,54392,290,2020-10-11 00:00:00,16016.0,60.0
26,Gandaki,5746,34,2020-10-11 00:00:00,909.0,2.0
26,Karnali,4609,7,2020-10-11 00:00:00,720.0,1.0
26,Province 1,11065,83,2020-10-11 00:00:00,3034.0,17.0
26,Province 2,16519,138,2020-10-11 00:00:00,810.0,7.0
26,Province 5,14527,96,2020-10-11 00:00:00,2463.0,13.0
26,Sudurpashchim,8499,14,2020-10-11 00:00:00,592.0,0.0
27,Bagmati,69724,350,2020-10-18 00:00:00,15332.0,60.0
27,Gandaki,6785,41,2020-10-18 00:00:00,1039.0,7.0
27,Karnali,5191,9,2020-10-18 00:00:00,582.0,2.0
27,Province 1,14482,102,2020-10-18 00:00:00,3417.0,19.0
27,Province 2,17276,144,2020-10-18 00:00:00,757.0,6.0
27,Province 5,16509,104,2020-10-18 00:00:00,1982.0,8.0
27,Sudurpashchim,9161,14,2020-10-18 00:00:00,662.0,0.0
28,Bagmati,82827,420,2020-10-25 00:00:00,13103.0,70.0
28,Gandaki,8032,48,2020-10-25 00:00:00,1247.0,7.0
28,Karnali,5520,9,2020-10-25 00:00:00,329.0,0.0
28,Province 1,17713,117,2020-10-25 00:00:00,3231.0,15.0
28,Province 2,17857,146,2020-10-25 00:00:00,581.0,2.0
28,Province 5,18732,119,2020-10-25 00:00:00,2223.0,15.0
28,Sudurpashchim,9718,16,2020-10-25 00:00:00,557.0,2.0
29,Bagmati,95378,505,2020-11-01 00:00:00,12551.0,85.0
29,Gandaki,9502,61,2020-11-01 00:00:00,1470.0,13.0
29,Karnali,5708,12,2020-11-01 00:00:00,188.0,3.0
29,Province 1,20292,122,2020-11-01 00:00:00,2579.0,5.0
29,Province 2,18486,156,2020-11-01 00:00:00,629.0,10.0
29,Province 5,20171,132,2020-11-01 00:00:00,1439.0,13.0
29,Sudurpashchim,10076,16,2020-11-01 00:00:00,358.0,0.0
30,Bagmati,107787,565,2020-11-08 00:00:00,12409.0,60.0
30,Gandaki,11205,73,2020-11-08 00:00:00,1703.0,12.0
30,Karnali,5883,12,2020-11-08 00:00:00,175.0,0.0
30,Province 1,22799,151,2020-11-08 00:00:00,2507.0,29.0
30,Province 2,19074,164,2020-11-08 00:00:00,588.0,8.0
30,Province 5,22298,157,2020-11-08 00:00:00,2127.0,25.0
30,Sudurpashchim,10713,26,2020-11-08 00:00:00,637.0,10.0
32,Bagmati,122939,671,2020-11-18 12:00:00,7576.0,53.0
32,Gandaki,13454,97,2020-11-18 12:00:00,1124.5,12.0
32,Karnali,6011,22,2020-11-18 12:00:00,64.0,5.0
32,Province 1,25670,177,2020-11-18 12:00:00,1435.5,13.0
32,Province 2,19752,179,2020-11-18 12:00:00,339.0,7.5
32,Province 5,24748,179,2020-11-18 12:00:00,1225.0,11.0
32,Sudurpashchim,11503,36,2020-11-18 12:00:00,395.0,5.0
33,Bagmati,128746,778,2020-11-29 00:00:00,5807.0,107.0
33,Gandaki,14497,111,2020-11-29 00:00:00,1043.0,14.0
33,Karnali,6105,22,2020-11-29 00:00:00,94.0,0.0
33,Province 1,27438,195,2020-11-29 00:00:00,1768.0,18.0
33,Province 2,20110,193,2020-11-29 00:00:00,358.0,14.0
33,Province 5,25898,192,2020-11-29 00:00:00,1150.0,13.0
33,Sudurpashchim,11961,38,2020-11-29 00:00:00,458.0,2.0
34,Bagmati,132633,827,2020-12-05 12:00:00,3887.0,49.0
34,Gandaki,15261,118,2020-12-05 12:00:00,764.0,7.0
34,Karnali,6165,24,2020-12-05 12:00:00,60.0,2.0
34,Province 1,28279,202,2020-12-05 12:00:00,841.0,7.0
34,Province 2,20335,197,2020-12-05 12:00:00,225.0,4.0
34,Province 5,26796,203,2020-12-05 12:00:00,898.0,11.0
34,Sudurpashchim,12525,43,2020-12-05 12:00:00,564.0,5.0
35,Bagmati,136932,879,2020-12-12 00:00:00,4299.0,52.0
35,Gandaki,16180,149,2020-12-12 00:00:00,919.0,31.0
35,Karnali,6265,24,2020-12-12 00:00:00,100.0,0.0
35,Province 1,29236,213,2020-12-12 00:00:00,957.0,11.0
35,Province 2,20500,205,2020-12-12 00:00:00,165.0,8.0
35,Province 5,27735,210,2020-12-12 00:00:00,939.0,7.0
35,Sudurpashchim,13331,50,2020-12-12 00:00:00,806.0,7.0
36,Bagmati,139665,894,2020-12-19 00:00:00,2733.0,15.0
36,Gandaki,16975,187,2020-12-19 00:00:00,795.0,38.0
36,Karnali,6372,24,2020-12-19 00:00:00,107.0,0.0
36,Province 1,29659,217,2020-12-19 00:00:00,423.0,4.0
36,Province 2,20600,208,2020-12-19 00:00:00,100.0,3.0
36,Province 5,28349,214,2020-12-19 00:00:00,614.0,4.0
36,Sudurpashchim,13795,54,2020-12-19 00:00:00,464.0,4.0
37,Bagmati,142016,920,2020-12-26 00:00:00,2351.0,26.0
37,Gandaki,17248,193,2020-12-26 00:00:00,273.0,6.0
37,Karnali,6438,24,2020-12-26 00:00:00,66.0,0.0
37,Province 1,29914,218,2020-12-26 00:00:00,255.0,1.0
37,Province 2,20640,209,2020-12-26 00:00:00,40.0,1.0
37,Province 5,28964,218,2020-12-26 00:00:00,615.0,4.0
37,Sudurpashchim,14327,58,2020-12-26 00:00:00,532.0,4.0
38,Bagmati,143871,950,2021-01-02 00:00:00,1855.0,30.0
38,Gandaki,17647,198,2021-01-02 00:00:00,399.0,5.0
38,Karnali,6448,24,2021-01-02 00:00:00,10.0,0.0
38,Province 1,30100,219,2021-01-02 00:00:00,186.0,1.0
38,Province 2,20680,214,2021-01-02 00:00:00,40.0,5.0
38,Province 5,29421,226,2021-01-02 00:00:00,457.0,8.0
38,Sudurpashchim,14616,62,2021-01-02 00:00:00,289.0,4.0
39,Bagmati,145682,966,2021-01-09 00:00:00,1811.0,16.0
39,Gandaki,17892,201,2021-01-09 00:00:00,245.0,3.0
39,Karnali,6479,26,2021-01-09 00:00:00,31.0,2.0
39,Province 1,30311,224,2021-01-09 00:00:00,211.0,5.0
39,Province 2,20719,214,2021-01-09 00:00:00,39.0,0.0
39,Province 5,29850,237,2021-01-09 00:00:00,429.0,11.0
39,Sudurpashchim,14764,64,2021-01-09 00:00:00,148.0,2.0
40,Bagmati,146956,981,2021-01-16 00:00:00,1274.0,15.0
40,Gandaki,18120,205,2021-01-16 00:00:00,228.0,4.0
40,Karnali,6489,27,2021-01-16 00:00:00,10.0,1.0
40,Province 1,30381,226,2021-01-16 00:00:00,70.0,2.0
40,Province 2,20766,216,2021-01-16 00:00:00,47.0,2.0
40,Province 5,30129,246,2021-01-16 00:00:00,279.0,9.0
40,Sudurpashchim,14802,64,2021-01-16 00:00:00,38.0,0.0
41,Bagmati,148307,990,2021-01-22 12:00:00,1351.0,9.0
41,Gandaki,18418,217,2021-01-22 12:00:00,298.0,12.0
41,Karnali,6496,27,2021-01-22 12:00:00,7.0,0.0
41,Province 1,30433,228,2021-01-22 12:00:00,52.0,2.0
41,Province 2,20799,217,2021-01-22 12:00:00,33.0,1.0
41,Province 5,30460,268,2021-01-22 12:00:00,331.0,22.0
41,Sudurpashchim,14875,64,2021-01-22 12:00:00,73.0,0.0
42,Bagmati,149191,1002,2021-01-29 00:00:00,884.0,12.0
42,Gandaki,18633,217,2021-01-29 00:00:00,215.0,0.0
42,Karnali,6504,27,2021-01-29 00:00:00,8.0,0.0
42,Province 1,30466,228,2021-01-29 00:00:00,33.0,0.0
42,Province 2,20820,217,2021-01-29 00:00:00,21.0,0.0
42,Province 5,30598,274,2021-01-29 00:00:00,138.0,6.0
42,Sudurpashchim,14905,64,2021-01-29 00:00:00,30.0,0.0
43,Bagmati,149732,1007,2021-02-05 00:00:00,541.0,5.0
43,Gandaki,18808,219,2021-02-05 00:00:00,175.0,2.0
43,Karnali,6506,27,2021-02-05 00:00:00,2.0,0.0
43,Province 1,30495,231,2021-02-05 00:00:00,29.0,3.0
43,Province 2,20837,218,2021-02-05 00:00:00,17.0,1.0
43,Province 5,30741,278,2021-02-05 00:00:00,143.0,4.0
43,Sudurpashchim,14936,65,2021-02-05 00:00:00,31.0,1.0
44,Bagmati,150224,1011,2021-02-12 00:00:00,492.0,4.0
44,Gandaki,18987,220,2021-02-12 00:00:00,179.0,1.0
44,Karnali,6510,27,2021-02-12 00:00:00,4.0,0.0
44,Province 1,30519,232,2021-02-12 00:00:00,24.0,1.0
44,Province 2,20849,218,2021-02-12 00:00:00,12.0,0.0
44,Province 5,30796,281,2021-02-12 00:00:00,55.0,3.0
44,Sudurpashchim,14955,66,2021-02-12 00:00:00,19.0,1.0
45,Bagmati,150660,1013,2021-02-19 00:00:00,436.0,2.0
45,Gandaki,19139,224,2021-02-19 00:00:00,152.0,4.0
45,Karnali,6520,27,2021-02-19 00:00:00,10.0,0.0
45,Province 1,30535,232,2021-02-19 00:00:00,16.0,0.0
45,Province 2,20861,218,2021-02-19 00:00:00,12.0,0.0
45,Province 5,30871,281,2021-02-19 00:00:00,75.0,0.0
45,Sudurpashchim,14970,66,2021-02-19 00:00:00,15.0,0.0
46,Bagmati,151025,1021,2021-02-26 00:00:00,365.0,8.0
46,Gandaki,19283,227,2021-02-26 00:00:00,144.0,3.0
46,Karnali,6525,28,2021-02-26 00:00:00,5.0,1.0
46,Province 1,30549,232,2021-02-26 00:00:00,14.0,0.0
46,Province 2,20874,218,2021-02-26 00:00:00,13.0,0.0
46,Province 5,30951,284,2021-02-26 00:00:00,80.0,3.0
46,Sudurpashchim,14999,67,2021-02-26 00:00:00,29.0,1.0
47,Bagmati,151407,1415,2021-03-05 00:00:00,382.0,394.0
47,Gandaki,19383,328,2021-03-05 00:00:00,100.0,101.0
47,Karnali,6532,37,2021-03-05 00:00:00,7.0,9.0
47,Province 1,30566,480,2021-03-05 00:00:00,17.0,248.0
47,Province 2,20882,264,2021-03-05 00:00:00,8.0,46.0
47,Province 5,31028,401,2021-03-05 00:00:00,77.0,117.0
47,Sudurpashchim,15012,86,2021-03-05 00:00:00,13.0,19.0
48,Bagmati,151699,1416,2021-03-12 00:00:00,292.0,1.0
48,Gandaki,19466,328,2021-03-12 00:00:00,83.0,0.0
48,Karnali,6543,37,2021-03-12 00:00:00,11.0,0.0
48,Province 1,30594,480,2021-03-12 00:00:00,28.0,0.0
48,Province 2,20886,264,2021-03-12 00:00:00,4.0,0.0
48,Province 5,31102,403,2021-03-12 00:00:00,74.0,2.0
48,Sudurpashchim,15020,86,2021-03-12 00:00:00,8.0,0.0
49,Bagmati,152142,1418,2021-03-19 00:00:00,443.0,2.0
49,Gandaki,19625,329,2021-03-19 00:00:00,159.0,1.0
49,Karnali,6547,37,2021-03-19 00:00:00,4.0,0.0
49,Province 1,30628,480,2021-03-19 00:00:00,34.0,0.0
49,Province 2,20915,264,2021-03-19 00:00:00,29.0,0.0
49,Province 5,31172,405,2021-03-19 00:00:00,70.0,2.0
49,Sudurpashchim,15027,86,2021-03-19 00:00:00,7.0,0.0
50,Bagmati,152661,1420,2021-03-26 00:00:00,519.0,2.0
50,Gandaki,19837,331,2021-03-26 00:00:00,212.0,2.0
50,Karnali,6560,38,2021-03-26 00:00:00,13.0,1.0
50,Province 1,30673,482,2021-03-26 00:00:00,45.0,2.0
50,Province 2,20934,264,2021-03-26 00:00:00,19.0,0.0
50,Province 5,31257,406,2021-03-26 00:00:00,85.0,1.0
50,Sudurpashchim,15058,86,2021-03-26 00:00:00,31.0,0.0
51,Bagmati,153406,1426,2021-04-02 00:00:00,745.0,6.0
51,Gandaki,20056,333,2021-04-02 00:00:00,219.0,2.0
51,Karnali,6584,38,2021-04-02 00:00:00,24.0,0.0
51,Province 1,30720,482,2021-04-02 00:00:00,47.0,0.0
51,Province 2,20961,265,2021-04-02 00:00:00,27.0,1.0
51,Province 5,31388,406,2021-04-02 00:00:00,131.0,0.0
51,Sudurpashchim,15095,86,2021-04-02 00:00:00,37.0,0.0
52,Bagmati,154661,1431,2021-04-09 00:00:00,1255.0,5.0
52,Gandaki,20336,337,2021-04-09 00:00:00,280.0,4.0
52,Karnali,6627,38,2021-04-09 00:00:00,43.0,0.0
52,Province 1,30869,482,2021-04-09 00:00:00,149.0,0.0
52,Province 2,21094,266,2021-04-09 00:00:00,133.0,1.0
52,Province 5,31773,411,2021-04-09 00:00:00,385.0,5.0
52,Sudurpashchim,15164,88,2021-04-09 00:00:00,69.0,2.0
53,Bagmati,157381,1451,2021-04-16 00:00:00,2720.0,20.0
53,Gandaki,20727,339,2021-04-16 00:00:00,391.0,2.0
53,Karnali,6757,39,2021-04-16 00:00:00,130.0,1.0
53,Province 1,31158,482,2021-04-16 00:00:00,289.0,0.0
53,Province 2,21521,269,2021-04-16 00:00:00,427.0,3.0
53,Province 5,32924,421,2021-04-16 00:00:00,1151.0,10.0
53,Sudurpashchim,15432,90,2021-04-16 00:00:00,268.0,2.0
54,Bagmati,166440,1477,2021-04-23 00:00:00,9059.0,26.0
54,Gandaki,21601,345,2021-04-23 00:00:00,874.0,6.0
54,Karnali,7215,39,2021-04-23 00:00:00,458.0,0.0
54,Province 1,32160,486,2021-04-23 00:00:00,1002.0,4.0
54,Province 2,22562,277,2021-04-23 00:00:00,1041.0,8.0
54,Province 5,37488,458,2021-04-23 00:00:00,4564.0,37.0
54,Sudurpashchim,16095,94,2021-04-23 00:00:00,663.0,4.0
55,Bagmati,187398,1520,2021-04-30 00:00:00,20958.0,43.0
55,Gandaki,23550,352,2021-04-30 00:00:00,1949.0,7.0
55,Karnali,8237,42,2021-04-30 00:00:00,1022.0,3.0
55,Province 1,34389,496,2021-04-30 00:00:00,2229.0,10.0
55,Province 2,24878,305,2021-04-30 00:00:00,2316.0,28.0
55,Province 5,47049,529,2021-04-30 00:00:00,9561.0,71.0
55,Sudurpashchim,17917,118,2021-04-30 00:00:00,1822.0,24.0
56,Bagmati,219269,1639,2021-05-07 00:00:00,31871.0,119.0
56,Gandaki,27669,381,2021-05-07 00:00:00,4119.0,29.0
56,Karnali,10076,63,2021-05-07 00:00:00,1839.0,21.0
56,Province 1,39105,525,2021-05-07 00:00:00,4716.0,29.0
56,Province 2,28095,342,2021-05-07 00:00:00,3217.0,37.0
56,Province 5,58442,650,2021-05-07 00:00:00,11393.0,121.0
56,Sudurpashchim,21138,158,2021-05-07 00:00:00,3221.0,40.0
