Week,Province,Total Cumulative Cases,Total Cumulative Deaths,Date,Number of Cases,Number of Deaths
1,Bagmati,7,0,2020-04-15 12:00:00,7.0,0.0
1,Gandaki,2,0,2020-04-15 12:00:00,2.0,0.0
1,Karnali,0,0,2020-04-15 12:00:00,0.0,0.0
1,Province 1,13,0,2020-04-15 12:00:00,13.0,0.0
1,Province 2,4,0,2020-04-15 12:00:00,4.0,0.0
1,Province 5,0,0,2020-04-15 12:00:00,0.0,0.0
1,Sudurpashchim,5,0,2020-04-15 12:00:00,5.0,0.0
2,Bagmati,7,0,2020-04-24 00:00:00,0.0,0.0
2,Gandaki,2,0,2020-04-24 00:00:00,0.0,0.0
2,Karnali,0,0,2020-04-24 00:00:00,0.0,0.0
2,Province 1,31,0,2020-04-24 00:00:00,18.0,0.0
2,Province 2,9,0,2020-04-24 00:00:00,5.0,0.0
2,Province 5,0,0,2020-04-24 00:00:00,0.0,0.0
2,Sudurpashchim,5,0,2020-04-24 00:00:00,0.0,0.0
3,Bagmati,7,0,2020-05-02 00:00:00,0.0,0.0
3,Gandaki,2,0,2020-05-02 00:00:00,0.0,0.0
3,Karnali,0,0,2020-05-02 00:00:00,0.0,0.0
3,Province 1,31,0,2020-05-02 00:00:00,0.0,0.0
3,Province 2,13,0,2020-05-02 00:00:00,4.0,0.0
3,Province 5,24,0,2020-05-02 00:00:00,24.0,0.0
3,Sudurpashchim,5,0,2020-05-02 00:00:00,0.0,0.0
4,Bagmati,10,0,2020-05-09 00:00:00,3.0,0.0
4,Gandaki,2,0,2020-05-09 00:00:00,0.0,0.0
4,Karnali,0,0,2020-05-09 00:00:00,0.0,0.0
4,Province 1,35,0,2020-05-09 00:00:00,4.0,0.0
4,Province 2,95,0,2020-05-09 00:00:00,82.0,0.0
4,Province 5,70,0,2020-05-09 00:00:00,46.0,0.0
4,Sudurpashchim,5,0,2020-05-09 00:00:00,0.0,0.0
5,Bagmati,29,1,2020-05-16 00:00:00,19.0,1.0
5,Gandaki,4,0,2020-05-16 00:00:00,2.0,0.0
5,Karnali,1,0,2020-05-16 00:00:00,1.0,0.0
5,Province 1,54,0,2020-05-16 00:00:00,19.0,0.0
5,Province 2,137,0,2020-05-16 00:00:00,42.0,0.0
5,Province 5,172,1,2020-05-16 00:00:00,102.0,1.0
5,Sudurpashchim,5,0,2020-05-16 00:00:00,0.0,0.0
6,Bagmati,40,1,2020-05-23 00:00:00,11.0,0.0
6,Gandaki,5,0,2020-05-23 00:00:00,1.0,0.0
6,Karnali,23,0,2020-05-23 00:00:00,22.0,0.0
6,Province 1,87,0,2020-05-23 00:00:00,33.0,0.0
6,Province 2,282,1,2020-05-23 00:00:00,145.0,1.0
6,Province 5,321,2,2020-05-23 00:00:00,149.0,1.0
6,Sudurpashchim,14,0,2020-05-23 00:00:00,9.0,0.0
7,Bagmati,54,2,2020-05-30 00:00:00,14.0,1.0
7,Gandaki,35,0,2020-05-30 00:00:00,30.0,0.0
7,Karnali,227,1,2020-05-30 00:00:00,204.0,1.0
